城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
沈阳市,41.801196999999995,123.461706,8:00:00,21:30:00,False,沈阳中街店,31212-104933,110000.0
沈阳市,41.826152,123.41363500000001,8:30:00,21:00:00,False,沈阳北行千盛店,57493-291611,110000.0
沈阳市,41.802077000000004,123.464875,9:30:00,21:30:00,False,沈阳中街新玛特店,22682-219985,110000.0
沈阳市,41.801603,123.466074,8:30:00,22:00:00,False,沈阳大悦城店,3888-136815,110000.0
沈阳市,41.792429999999996,123.400632,8:00:00,22:00:00,False,沈阳中兴店,31948-117366,110000.0
沈阳市,41.791861,123.399901,9:00:00,21:30:00,False,沈阳太原街百盛分店,19679-201606,110000.0
沈阳市,41.777834000000006,123.43351299999999,7:30:00,22:00:00,False,沈阳文艺路店,27784-247745,110000.0
沈阳市,41.79138,123.398726,9:00:00,21:30:00,False,沈阳太原街万达店,19145-198984,110000.0
沈阳市,41.835089,123.419499,7:00:00,21:30:00,False,沈阳乐购店,16579-173104,110000.0
沈阳市,41.775242,123.437229,8:00:00,21:30:00,False,沈阳嘉里中心店,56967-290948,110000.0
沈阳市,41.775009999999995,123.434729,8:00:00,22:00:00,False,沈阳万象城店,1519-134036,110000.0
沈阳市,41.813517,123.380955,8:00:00,21:30:00,False,沈阳北一路万达分店,17685-184964,110000.0
沈阳市,41.767007,123.427153,7:30:00,21:00:00,False,沈阳东软电脑城店,59975-294246,110000.0
沈阳市,41.80874,123.37638100000001,9:00:00,21:30:00,False,沈阳星摩尔店,16272-154648,110000.0
沈阳市,41.764396000000005,123.43616999999999,7:30:00,21:00:00,False,沈阳茂业金廊店,3663-145744,110000.0
沈阳市,41.795799,123.372527,8:00:00,21:30:00,False,沈阳铁西广场店,27946-248804,110000.0
沈阳市,41.795152,123.372699,9:00:00,21:30:00,False,沈阳铁西万象汇3店,54887-288623,110000.0
沈阳市,41.825953999999996,123.376875,7:00:00,21:00:00,False,沈阳中海环宇城店,20989-204205,110000.0
沈阳市,41.856336,123.417501,7:30:00,21:30:00,False,沈阳中粮广场店,50492-271026,110000.0
